Date,Price_Close,Price_Open,Price_High,Price_Low,Var
"21/12/2021","1786,55","1791,54","1800,42","1785,04","-0,15%"
"20/12/2021","1789,32","1799,40","1804,32","1787,98","-0,47%"
"17/12/2021","1797,68","1799,55","1814,63","1795,67","-0,07%"
"16/12/2021","1799,03","1777,40","1799,53","1775,43","1,24%"
"15/12/2021","1777,06","1770,49","1781,04","1753,84","0,39%"
"14/12/2021","1770,18","1787,19","1789,74","1766,31","-0,94%"
"13/12/2021","1786,94","1782,94","1791,78","1781,51","0,25%"
"10/12/2021","1782,51","1774,94","1789,47","1769,43","0,45%"
"09/12/2021","1774,46","1782,49","1788,05","1772,80","-0,43%"
"08/12/2021","1782,06","1784,40","1793,60","1779,45","-0,11%"
"07/12/2021","1784,04","1778,08","1788,02","1771,93","0,33%"
"06/12/2021","1778,11","1784,79","1787,87","1775,91","-0,32%"
"03/12/2021","1783,74","1768,84","1786,44","1765,63","0,85%"
"02/12/2021","1768,64","1783,05","1783,58","1761,68","-0,79%"
"01/12/2021","1782,66","1774,15","1794,80","1771,96","0,50%"
"30/11/2021","1773,78","1785,34","1809,38","1769,43","-0,63%"
"29/11/2021","1785,01","1790,05","1799,80","1781,23","-0,38%"
"26/11/2021","1791,81","1788,70","1815,78","1780,79","0,19%"
"25/11/2021","1788,45","1789,49","1795,65","1785,85","-0,00%"
"24/11/2021","1788,50","1790,34","1797,01","1778,44","-0,07%"
"23/11/2021","1789,73","1805,65","1812,50","1781,63","-0,85%"
"22/11/2021","1805,04","1846,74","1849,49","1801,95","-2,14%"
"19/11/2021","1844,60","1858,90","1865,76","1842,98","-0,75%"
"18/11/2021","1858,46","1866,97","1871,29","1854,94","-0,46%"
"17/11/2021","1866,96","1850,34","1868,32","1849,38","0,92%"
"16/11/2021","1849,91","1862,94","1877,40","1849,16","-0,67%"
"15/11/2021","1862,46","1868,15","1870,57","1855,73","-0,09%"
"12/11/2021","1864,04","1861,99","1868,69","1844,78","0,14%"
"11/11/2021","1861,52","1849,69","1866,35","1842,66","0,65%"
