Date,Date,Price_Close,Price_Open,Price_High,Price_Low,Var
2020-10-01,2020-10-01,1905.05,1885.8,1912.09,1884.48,0.0104
2020-10-02,2020-10-02,1898.7,1905.65,1917.28,1889.57,-0.0033
2020-10-05,2020-10-05,1912.9,1902.24,1918.74,1886.81,0.0075
2020-10-06,2020-10-06,1877.13,1913.28,1921.1,1874.57,-0.0187
2020-10-07,2020-10-07,1887.22,1878.84,1898.31,1873.05,0.0054
2020-10-08,2020-10-08,1893.09,1887.4,1900.73,1881.86,0.0031
2020-10-09,2020-10-09,1929.43,1894.19,1930.83,1893.32,0.0192
2020-10-12,2020-10-12,1921.95,1930.5,1933.45,1918.19,-0.0039000000000000003
2020-10-13,2020-10-13,1890.82,1922.42,1925.73,1886.59,-0.016200000000000003
2020-10-14,2020-10-14,1900.89,1891.9,1913.03,1882.44,0.0053
2020-10-15,2020-10-15,1907.82,1900.31,1909.22,1889.46,0.0036
2020-10-16,2020-10-16,1898.97,1907.95,1914.06,1897.59,-0.0046
2020-10-19,2020-10-19,1904.27,1899.94,1918.59,1897.09,0.0028000000000000004
2020-10-20,2020-10-20,1906.39,1904.24,1914.2,1894.74,0.0011
2020-10-21,2020-10-21,1924.49,1908.65,1931.41,1907.94,0.0095
2020-10-22,2020-10-22,1904.04,1924.34,1926.0,1894.8,-0.0106
2020-10-23,2020-10-23,1900.79,1904.24,1914.3,1894.54,-0.0017000000000000001
2020-10-26,2020-10-26,1901.69,1902.34,1908.55,1890.9,0.0005
2020-10-27,2020-10-27,1906.83,1902.19,1911.34,1897.47,0.0027
2020-10-28,2020-10-28,1877.06,1908.05,1911.03,1869.59,-0.015600000000000001
2020-10-29,2020-10-29,1867.13,1876.94,1885.42,1859.67,-0.0053
2020-10-30,2020-10-30,1877.95,1868.24,1889.85,1864.64,0.0058
2020-11-02,2020-11-02,1895.1,1878.59,1896.12,1873.21,0.0091
2020-11-03,2020-11-03,1908.36,1895.8,1910.71,1886.81,0.006999999999999999
2020-11-04,2020-11-04,1903.21,1908.59,1916.68,1883.15,-0.0027
2020-11-05,2020-11-05,1948.56,1903.65,1952.95,1902.43,0.023799999999999998
2020-11-06,2020-11-06,1951.51,1949.24,1960.77,1935.4,0.0015
2020-11-09,2020-11-09,1861.86,1954.65,1965.92,1850.36,-0.045899999999999996
2020-11-10,2020-11-10,1876.5,1862.15,1890.6,1860.3,0.0079
2020-11-11,2020-11-11,1864.71,1877.34,1884.93,1856.05,-0.0063
2020-11-12,2020-11-12,1875.76,1865.3,1883.88,1862.46,0.0059
2020-11-13,2020-11-13,1888.04,1876.44,1897.16,1873.76,0.006500000000000001
2020-11-16,2020-11-16,1888.52,1888.74,1899.35,1864.74,0.0003
2020-11-17,2020-11-17,1878.6,1889.15,1893.9,1877.69,-0.0052
2020-11-18,2020-11-18,1871.41,1878.6,1884.92,1863.94,-0.0038
2020-11-19,2020-11-19,1867.37,1871.44,1874.34,1852.48,-0.0022
2020-11-20,2020-11-20,1870.49,1867.59,1879.98,1860.66,0.0017000000000000001
2020-11-23,2020-11-23,1835.85,1869.84,1876.72,1830.85,-0.018500000000000003
2020-11-24,2020-11-24,1807.51,1836.65,1839.26,1800.69,-0.0154
2020-11-25,2020-11-25,1805.3,1807.69,1817.98,1801.33,-0.0012
2020-11-26,2020-11-26,1810.57,1805.74,1818.78,1805.31,0.0029
2020-11-27,2020-11-27,1788.13,1811.09,1813.81,1773.93,-0.0124
2020-11-30,2020-11-30,1777.02,1789.05,1789.99,1764.69,-0.0062
2020-12-01,2020-12-01,1814.87,1777.4,1817.55,1775.52,0.0213
2020-12-02,2020-12-02,1831.01,1815.19,1832.65,1806.99,0.0089
2020-12-03,2020-12-03,1840.36,1831.34,1844.45,1823.6,0.0051
2020-12-04,2020-12-04,1837.61,1841.05,1848.26,1829.3,-0.0015
2020-12-07,2020-12-07,1863.69,1837.99,1868.76,1822.99,0.014199999999999999
