Date,Date,Price_Close,Price_Open,Price_High,Price_Low,Var
2020-08-31,2020-08-31,3500.31,3509.73,3514.77,3493.25,-0.002683967142771687
2020-09-01,2020-09-01,3526.65,3507.44,3528.03,3494.6,0.005476929042264454
2020-09-02,2020-09-02,3580.84,3543.76,3588.11,3535.23,0.010463462536966365
2020-09-03,2020-09-03,3455.06,3564.74,3564.85,3427.41,-0.03076802235226127
2020-09-04,2020-09-04,3426.96,3453.6,3479.15,3349.63,-0.007713690062543396
2020-09-08,2020-09-08,3331.84,3371.88,3379.97,3329.27,-0.011874681186756338
2020-09-09,2020-09-09,3398.96,3369.82,3424.77,3366.84,0.008647346149052434
2020-09-10,2020-09-10,3339.19,3412.56,3425.55,3329.25,-0.021499988278594336
2020-09-11,2020-09-11,3340.97,3352.7,3368.95,3310.47,-0.0034986727115459237
2020-09-14,2020-09-14,3383.54,3363.56,3402.93,3363.56,0.00594013485711568
2020-09-15,2020-09-15,3401.2,3407.73,3419.48,3389.25,-0.001916231626331957
2020-09-16,2020-09-16,3385.49,3411.23,3428.92,3384.45,-0.007545665346517308
2020-09-17,2020-09-17,3357.01,3346.86,3375.17,3328.82,0.0030326933304650004
2020-09-18,2020-09-18,3319.47,3357.38,3362.27,3292.4,-0.011291542810167544
2020-09-21,2020-09-21,3281.06,3285.57,3285.57,3229.1,-0.0013726689737245648
2020-09-22,2020-09-22,3315.57,3295.75,3320.31,3270.95,0.0060138056588030534
2020-09-23,2020-09-23,3236.92,3320.11,3323.35,3232.57,-0.025056398733776908
2020-09-24,2020-09-24,3246.59,3226.14,3278.7,3209.45,0.006338844563472222
2020-09-25,2020-09-25,3298.46,3236.66,3306.88,3228.44,0.01909375714471096
2020-09-28,2020-09-28,3351.6,3333.9,3360.74,3332.91,0.005309097453432862
2020-09-29,2020-09-29,3335.47,3350.92,3357.92,3327.54,-0.004610674083535349
2020-09-30,2020-09-30,3363.0,3341.21,3393.56,3340.47,0.0065215894840491805
2020-10-01,2020-10-01,3380.8,3385.87,3397.18,3361.39,-0.0014973994866901888
2020-10-02,2020-10-02,3348.44,3338.94,3369.1,3323.69,0.002845214349464201
2020-10-05,2020-10-05,3408.63,3367.27,3409.57,3367.27,0.01228294731340229
2020-10-06,2020-10-06,3360.95,3408.74,3431.56,3354.54,-0.014019843109184029
2020-10-07,2020-10-07,3419.45,3384.56,3426.26,3384.56,0.010308577776727218
2020-10-08,2020-10-08,3446.83,3434.28,3447.28,3428.15,0.00365433220354768
2020-10-09,2020-10-09,3477.13,3459.67,3482.34,3458.07,0.005046724109524907
2020-10-12,2020-10-12,3534.22,3500.02,3549.85,3499.61,0.009771372735012891
2020-10-13,2020-10-13,3511.93,3534.01,3534.01,3500.86,-0.006247860079626368
2020-10-14,2020-10-14,3488.67,3515.47,3527.94,3480.55,-0.007623447220428486
2020-10-15,2020-10-15,3483.34,3453.72,3489.08,3440.89,0.008576259801026241
2020-10-16,2020-10-16,3483.81,3493.5,3515.76,3480.45,-0.0027737226277372417
2020-10-19,2020-10-19,3426.92,3493.66,3502.42,3419.93,-0.019103175466416246
2020-10-20,2020-10-20,3443.12,3439.38,3476.93,3435.65,0.0010874052881623378
2020-10-21,2020-10-21,3435.56,3439.91,3464.86,3433.06,-0.0012645679683479828
2020-10-22,2020-10-22,3453.49,3438.5,3460.53,3415.34,0.004359459066453332
2020-10-23,2020-10-23,3465.39,3464.9,3466.46,3440.45,0.00014141822274806826
2020-10-26,2020-10-26,3400.97,3441.42,3441.42,3364.86,-0.011753869042430238
2020-10-27,2020-10-27,3390.68,3403.15,3409.51,3388.71,-0.0036642522368982426
2020-10-28,2020-10-28,3271.03,3342.48,3342.48,3268.89,-0.021376343313946475
2020-10-29,2020-10-29,3310.11,3277.17,3341.05,3259.82,0.010051355285200358
2020-10-30,2020-10-30,3269.96,3293.59,3304.93,3233.94,-0.007174542065041522
2020-11-02,2020-11-02,3310.24,3296.2,3330.14,3279.74,0.00425945027607547
2020-11-03,2020-11-03,3369.02,3336.25,3389.49,3336.25,0.009822405395279125
2020-11-04,2020-11-04,3443.44,3406.46,3486.25,3405.17,0.010855844483716239
2020-11-05,2020-11-05,3510.45,3485.74,3529.05,3485.74,0.007088882131197404
2020-11-06,2020-11-06,3509.44,3508.34,3521.58,3484.34,0.0003135385966012157
2020-11-09,2020-11-09,3550.5,3583.04,3645.99,3547.48,-0.009081673662588182
2020-11-10,2020-11-10,3545.53,3543.26,3557.22,3511.91,0.0006406529580104146
2020-11-11,2020-11-11,3572.66,3563.22,3581.16,3557.0,0.002649289126127507
2020-11-12,2020-11-12,3537.01,3562.67,3569.02,3518.58,-0.007202463321048499
2020-11-13,2020-11-13,3585.15,3552.57,3593.66,3552.57,0.009170825627644192
2020-11-16,2020-11-16,3626.91,3600.16,3628.51,3600.16,0.007430225323318964
2020-11-17,2020-11-17,3609.53,3610.31,3623.11,3588.68,-0.00021604792940211375
2020-11-18,2020-11-18,3567.79,3612.09,3619.09,3567.33,-0.012264367720627166
