Date,Price_Close,Price_High,Price_Low,Price_Open,Circulating_Marketcap,Marketcap_Dominance,Volatility,Circulating_Supply
2021-12-15,46950.253462292196,48810.65941357939,46559.243396503305,48390.75022687028,914625972690.2896,52.63556866809965,0.6987712984094661,18900843
2021-12-14,48371.07189171241,48700.9870447158,46323.053309868716,46751.316366636056,883607172534.7747,41.151912274239464,0.6887831117425626,18900156
2021-12-13,46734.82802414623,50222.799450053084,45716.686036175204,50100.81967671576,946870070610.4164,40.749059527645464,0.6771060957757514,18899293
2021-12-12,50095.84188761455,50810.77529835218,48669.0193671816,49361.29463474881,932850082860.8726,40.650263150288254,0.6614971769432182,18898412
2021-12-11,49413.99169724149,49513.22202055468,46787.423663494264,47167.986090115475,891354328562.75,40.51173361068042,0.6423395139084596,18897443
2021-12-10,47177.6365366698,50144.88019965764,46900.03411660442,47663.86696784702,900679070561.247,39.74316074033094,0.6318364672677795,18896475
2021-12-09,47580.70580969434,50845.02566051479,47351.603505426734,50518.58446629093,954572952929.6954,39.29753496808501,0.6181918283902096,18895481
2021-12-08,50514.81642085562,51245.42067573133,48660.06670851551,50639.81465174732,956810179951.341,39.68266673393613,0.6588295547462505,18894425
2021-12-07,50631.72168899536,51992.122542530844,50061.08758186998,50597.09879782962,955954363447.0396,39.901784407943765,0.672047786615328,18893462
2021-12-06,50513.5013442801,50962.52726814914,47153.46144735622,49427.99752664799,933812857908.4766,40.02677764106465,,18892387
2021-12-05,49466.5094623895,49849.39180139942,47810.10599762086,49238.43316725322,930180129745.157,39.2333711606275,,18891343
2021-12-04,49237.93061134608,53887.470232511805,42077.63622502468,53575.8562454677,1012067640391.9832,40.37725958077078,,18890368
2021-12-03,53650.623544597256,57660.721564216205,51585.503975351705,56535.51202452782,1067919074060.5146,40.02096670404384,,18889350
2021-12-02,56520.89965437467,57423.24524156069,55832.37439858283,57232.03275619421,1081019352694.854,40.19577024038641,0.609071633326355,18888362
2021-12-01,57219.384525995934,59109.406555795555,56477.60977968269,57023.079153748826,1077022666216.402,40.51909984620517,0.6107542457336084,18887487
2021-11-30,56980.61206570054,59236.90929143546,55921.66829703277,57828.51675767581,1092188401734.2767,40.83176461095543,0.606835751863918,18886675
2021-11-29,57835.29033338085,58914.17286476829,56730.79617457879,57263.99791817778,1081473892267.2135,41.133066482787825,0.6128464239712387,18885756
2021-11-28,57324.80152701594,57487.24731647733,53288.54388580475,54788.86498075211,1034681195286.5708,41.17020575736566,0.5921139262814255,18884881
2021-11-27,54773.00678642563,55324.86790045494,53650.08774955568,53658.72093240309,1013292949507.8489,41.10530364483,0.6058361245178755,18884031
2021-11-26,53771.63946029656,59196.239376455975,53530.0064434676,58963.57361205919,1113419479141.8958,41.14012713669757,0.5968898552099188,18883175
2021-11-25,58993.3076256517,59439.4958674445,57038.318291081414,57183.52891933151,1079759407289.9393,41.435484702431765,0.5523591331450796,18882350
2021-11-24,57167.940399318286,57745.28489890118,55888.66793731879,57564.14991775238,1086892085641.9493,41.177922293832545,0.5546114753845476,18881406
2021-11-23,57566.31613345491,57895.88849060285,55331.8658946167,56292.98087223049,1062842440007.1913,41.167045628535845,0.5518092951512816,18880550
2021-11-22,56287.30190661673,59516.852273598255,55648.891435892154,58750.75539209568,1109195167807.264,41.774938223644284,0.5387872352816369,18879675
2021-11-21,58687.185677168825,60092.11457975298,58545.73003590382,59750.20586228581,1128015173943.2144,41.83238473710693,0.5347225296690657,18878850
2021-11-20,59763.42238615593,59904.49146863124,57436.90492141095,58126.15320115263,1097301858183.7076,41.70341771384901,0.5551492898613799,18877937
2021-11-19,58113.417541449664,58475.70201621451,55628.14839203341,56959.75877234758,1075233638327.5132,42.74855178214948,0.5649974593680749,18877075
2021-11-18,56922.44043653159,60988.246979999676,56513.27818764263,60377.77043715735,1139703594859.1147,42.50215114639783,0.5629936001656461,18876212
2021-11-17,60374.03497360173,60852.985326791226,58396.58238910685,60122.20018538754,1134822280515.6384,42.71108998592169,0.543501069086333,18875262
2021-11-16,60101.086545380604,63635.18853039619,58635.24700140941,63566.45649550812,1199773132630.647,42.72610988788681,0.5371658402690289,18874312
2021-11-15,63613.27713454951,66392.49843241117,63387.99154004288,65486.26599010645,1235945611141.9714,43.07629411519402,0.5084425200410105,18873356
2021-11-14,65529.21554642032,65548.25311552826,63602.39751340296,64403.492482192014,1215448857941.8755,42.65124863037592,0.5586635758518277,18872406
2021-11-13,64408.395925960045,65008.18065080838,63380.073589661544,64210.80660651662,1211750576858.9019,42.8101873512167,0.5586222906699714,18871443
2021-11-12,64148.801061873775,65476.74269457229,62290.53166752846,64871.913631239564,1224170311571.8286,42.723885684868804,0.5657923108585053,18870575
2021-11-11,64815.87967883819,65630.08082872798,64125.13321953479,64996.84535607618,1226462003250.8916,43.31248340632604,0.5692217944853734,18869562
2021-11-10,64916.88837726965,69006.39487363906,62835.07585277167,66942.30498534803,1263110052711.8223,43.3104999859004,0.5783882942521534,18868637
2021-11-09,66952.03855670716,68551.25845176172,66232.56100555441,67562.34940513135,1274746950619.3896,43.3586937618165,0.5752512041085487,18867712
2021-11-08,67553.510527717,67804.2381900162,63300.511621679085,63335.587420062206,1194941000777.403,42.58406419261919,0.5510855181907484,18866818
2021-11-07,63319.18439686647,63342.721126076314,61352.95311549067,61499.70875575299,1160245387424.4802,42.174393635319305,0.5323469531491754,18865868
2021-11-06,61528.835301861756,61600.546045710755,60102.70553893855,61038.386277607286,1151481893559.0945,42.36836250228937,0.5454885895781958,18864881
2021-11-05,61016.50554379181,62635.308485589085,60778.11216358786,61443.05835868411,1159516894458.671,42.63257250125427,0.5918039312332074,18871405.90707249
2021-11-04,61456.704150052756,63126.17180203479,60713.376140667795,62936.75095505137,1187643999692.7659,42.96895735242908,0.6022715070060157,18870437.09232728
2021-11-03,62927.542965413624,63561.90687124483,60530.19337663267,63258.522393649204,1193659427280.0273,43.425457435195405,0.6000317067441947,18869543.29808791
2021-11-02,63269.55170974233,64322.995113658726,60668.9209947517,60961.61779186686,1150256542515.1042,43.450480569893294,0.5950379329774923,18868537.02672839
2021-11-01,60954.44422250737,62495.14552011344,59443.92493616444,61355.95441768421,1157636506667.2751,43.87742464413944,0.5893794603420409,18867549.49302227
2021-10-31,61349.79664491741,62432.91968504076,59978.47083602895,61890.73830804285,1167669311752.9858,44.27477102864727,0.6718182287066655,18866624.37182858
2021-10-30,61889.92586166655,62411.73583617797,60734.43724983009,62285.50669350917,1175063146862.9702,44.086322655149715,0.6792684788099587,18865755.60258587
2021-10-29,62292.15271971656,62991.60956412435,58177.91308251445,60616.182184770034,1143511355958.6206,44.14810257267725,0.6750927793589498,18864786.83980745
2021-10-28,60608.59294762445,62521.11609519325,57168.997778440804,58476.418968678845,1103082680127.4226,45.08731579749872,0.7087633744035408,18863718.05219906
2021-10-27,58475.89923831332,61507.31548877513,58060.161148243315,60342.47767325313,1138225781542.6987,44.47204139018616,0.7018347697183268,18862761.77962143
2021-10-26,60337.9407105646,63304.33259954865,59828.55247091286,63074.48528271551,1189697095274.991,45.336140260767124,0.6723691953137844,18861780.47973714
2021-10-25,63085.86122774842,63709.12378634223,60652.13086170295,60889.29477707668,1148423425871.2046,45.27131561865811,0.6671069616016543,18860842.94580396
2021-10-24,60873.552431355056,61499.57024006558,59503.42539138447,61332.072297814295,1156704816777.9727,45.02437264029395,0.6934779738464234,18859705.42722383
2021-10-23,61297.1379295953,61744.67834147946,59604.16530473024,60689.590479905186,1144529763830.2827,45.549204019729935,0.6925325550431517,18858749.16571147
